"","L2x2","X1_sum","X2_sum","X3_sum","X4_sum"
"330","L-4-24",1,1,2,0
"331","L-4-25",0,1,1,0
"332","L-4-3",1,1,1,2
"333","L-4-4",0,0,3,2
"334","L-4-5",1,1,0,0
"335","L-4-6",2,1,1,0
"336","L-4-7",0,0,0,0
"337","L-4-8",1,0,2,0
"338","L-4-9",1,2,1,0
"339","L-5-1",3,1,4,1
"340","L-5-10",0,0,0,2
"341","L-5-11",1,1,3,1
"342","L-5-12",1,1,1,1
"343","L-5-13",1,1,0,0
"344","L-5-14",0,2,3,1
"345","L-5-15",1,2,3,4
"346","L-5-16",0,0,0,0
"347","L-5-17",2,2,0,0
"348","L-5-18",0,1,1,3
"349","L-5-19",2,2,1,1
"350","L-5-2",2,1,1,2
"351","L-5-20",1,1,3,4
"352","L-5-21",1,2,4,0
"353","L-5-22",1,0,0,0
"354","L-5-23",1,1,1,0
"355","L-5-24",4,2,3,1
"356","L-5-25",1,2,3,3
"357","L-5-3",0,1,2,1
"358","L-5-4",1,3,2,1
"359","L-5-5",0,0,0,0
"360","L-5-6",0,1,0,0
"361","L-5-7",2,1,2,2
"362","L-5-8",0,1,2,0
"363","L-5-9",0,1,1,1
"364","L-6-1",3,4,4,4
"365","L-6-10",2,2,3,1
"366","L-6-11",0,0,0,4
"367","L-6-12",0,2,1,1
"368","L-6-13",2,1,1,0
"369","L-6-14",1,3,2,1
"370","L-6-15",1,0,0,0
"371","L-6-16",3,1,0,2
"372","L-6-17",4,3,0,2
"373","L-6-18",1,2,2,4
"374","L-6-19",5,6,2,4
"375","L-6-2",0,2,0,2
"376","L-6-20",0,0,2,0
"377","L-6-21",1,3,3,3
"378","L-6-22",0,1,2,0
"379","L-6-23",4,4,2,3
"380","L-6-24",3,2,1,1
"381","L-6-25",3,2,1,2
"382","L-6-3",1,1,3,4
"383","L-6-4",2,0,0,1
"384","L-6-5",0,0,1,1
"385","L-6-6",0,0,1,0
"386","L-6-7",1,2,1,2
"387","L-6-8",0,0,0,0
"388","L-6-9",3,3,4,2
"389","L-7-1",2,3,1,2
"390","L-7-10",2,3,1,0
"391","L-7-11",1,2,4,2
"392","L-7-12",2,2,2,2
"393","L-7-13",2,2,3,4
"394","L-7-14",0,4,3,2
"395","L-7-15",7,2,4,5
"396","L-7-16",4,4,3,3
"397","L-7-17",2,4,6,2
"398","L-7-18",3,2,1,1
"399","L-7-19",4,8,4,2
"400","L-7-2",1,1,0,0
"401","L-7-20",0,1,1,1
"402","L-7-21",3,0,3,2
"403","L-7-22",0,2,1,2
"404","L-7-23",3,3,5,2
"405","L-7-24",2,3,3,3
"406","L-7-25",2,2,3,3
"407","L-7-3",4,3,3,1
"408","L-7-4",1,0,0,1
"409","L-7-5",3,1,2,0
"410","L-7-6",1,4,2,2
"411","L-7-7",3,1,1,2
"412","L-7-8",1,1,4,1
"413","L-7-9",0,3,0,2
"414","L-8-1",4,3,3,4
"415","L-8-10",3,2,5,6
"416","L-8-11",7,7,10,5
"417","L-8-12",2,2,4,2
"418","L-8-13",1,2,2,6
"419","L-8-14",3,4,3,4
"420","L-8-15",5,7,6,4
"421","L-8-16",3,4,3,3
"422","L-8-17",4,4,6,5
"423","L-8-18",2,6,4,3
"424","L-8-19",6,5,7,6
"425","L-8-2",3,0,1,1
"426","L-8-20",4,1,2,3
"427","L-8-21",6,6,6,7
"428","L-8-22",0,1,2,2
"429","L-8-23",5,1,3,5
"430","L-8-24",0,4,7,7
"431","L-8-25",3,4,6,5
"432","L-8-3",5,6,5,1
"433","L-8-4",3,2,2,5
"434","L-8-5",5,8,8,4
"435","L-8-6",2,6,4,3
"436","L-8-7",5,3,4,6
"437","L-8-8",3,1,7,3
"438","L-8-9",5,4,6,5
"439","L-9-1",1,1,2,0
"440","L-9-10",0,0,0,0
"441","L-9-11",0,0,0,2
"442","L-9-12",4,4,2,2
"443","L-9-13",2,0,1,0
"444","L-9-14",0,1,1,1
"445","L-9-15",2,2,1,0
"446","L-9-16",3,3,2,0
"447","L-9-17",8,3,7,3
"448","L-9-18",2,0,0,0
"449","L-9-19",1,1,0,0
"450","L-9-2",2,2,1,3
"451","L-9-20",1,0,0,0
"452","L-9-21",3,2,0,1
"453","L-9-22",3,4,1,4
"454","L-9-23",2,2,2,0
"455","L-9-24",1,3,1,1
"456","L-9-25",0,0,0,0
"457","L-9-3",1,1,1,0
"458","L-9-4",4,0,3,3
"459","L-9-5",2,1,2,2
"460","L-9-6",1,0,0,0
"461","L-9-7",0,1,1,0
"462","L-9-8",2,2,1,3
"463","L-9-9",4,1,2,0
