"","SS","1","2","3","4"
"496","BG_14_17",1,0,0,0
"497","BG_14_18",0,0,0,0
"498","BG_14_19",1,0,1,1
"499","BG_14_2",2,1,2,0
"500","BG_14_20",1,0,0,0
"501","BG_14_21",2,0,2,2
"502","BG_14_22",1,1,1,NA
"503","BG_14_23",2,NA,NA,NA
"504","BG_14_24",2,2,2,2
"505","BG_14_25",1,1,2,2
"506","BG_14_26",0,2,1,1
"507","BG_14_27",1,1,0,1
"508","BG_14_28",1,2,2,1
"509","BG_14_29",0,1,0,1
"510","BG_14_3",1,1,NA,NA
"511","BG_14_30",0,0,0,0
"512","BG_14_31",1,2,2,2
"513","BG_14_32",2,2,2,NA
"514","BG_14_33",1,1,1,0
"515","BG_14_34",0,0,0,NA
"516","BG_14_35",0,1,1,0
"517","BG_14_36",2,1,2,2
"518","BG_14_37",1,0,1,1
"519","BG_14_38",1,0,1,NA
"520","BG_14_39",0,2,1,1
"521","BG_14_4",2,2,1,1
"522","BG_14_40",0,0,0,NA
"523","BG_14_41",2,2,2,2
"524","BG_14_42",1,2,2,2
"525","BG_14_43",1,1,0,1
"526","BG_14_44",2,2,2,NA
"527","BG_14_45",1,2,2,0
"528","BG_14_46",1,1,2,NA
"529","BG_14_47",0,0,1,0
"530","BG_14_48",1,1,0,0
"531","BG_14_49",2,0,1,NA
"532","BG_14_5",1,1,2,1
"533","BG_14_50",0,0,1,1
"534","BG_14_51",3,2,2,1
"535","BG_14_52",1,1,2,2
"536","BG_14_53",2,2,2,3
"537","BG_14_54",2,2,2,2
"538","BG_14_55",0,0,1,NA
"539","BG_14_56",0,0,0,1
"540","BG_14_57",1,1,0,2
"541","BG_14_58",1,0,1,NA
"542","BG_14_59",1,0,2,2
"543","BG_14_6",0,1,0,1
"544","BG_14_60",0,NA,NA,NA
"545","BG_14_61",1,2,2,2
"546","BG_14_62",2,2,2,2
"547","BG_14_63",0,2,2,0
"548","BG_14_64",2,2,2,NA
"549","BG_14_65",0,2,2,2
"550","BG_14_66",1,2,2,2
"551","BG_14_67",0,0,1,2
"552","BG_14_68",2,1,0,1
"553","BG_14_69",1,2,NA,NA
"554","BG_14_7",2,2,2,1
"555","BG_14_70",0,0,1,NA
"556","BG_14_71",1,2,2,2
"557","BG_14_72",2,2,2,2
"558","BG_14_73",2,2,2,1
