"","SS","1","2","3","4"
"293","BG_12_12",5.06666666666667,5,4.88333333333333,NA
"294","BG_12_13",4.85,4.9,4.96666666666667,5.01666666666667
"295","BG_12_14",4.85,4.85,4.85,4.98333333333333
"296","BG_12_15",5.05,4.93333333333333,4.86666666666667,4.85
"297","BG_12_16",4.83333333333333,4.81666666666667,4.8,4.76666666666667
"298","BG_12_17",4.85,5.01666666666667,5.06666666666667,NA
"299","BG_12_18",4.86666666666667,4.88333333333333,4.88333333333333,NA
"300","BG_12_19",5.05,5,4.96666666666667,NA
"301","BG_12_2",5.06666666666667,5.05,4.98333333333333,4.93333333333333
"302","BG_12_20",5.01666666666667,4.93333333333333,4.88333333333333,4.86666666666667
"303","BG_12_21",4.85,4.83333333333333,4.88333333333333,NA
"304","BG_12_22",4.83333333333333,4.83333333333333,4.88333333333333,4.9
"305","BG_12_23",4.98333333333333,4.93333333333333,4.83333333333333,4.9
"306","BG_12_24",5.08333333333333,5.05,4.85,4.83333333333333
"307","BG_12_25",4.91666666666667,4.96666666666667,5.01666666666667,NA
"308","BG_12_26",4.76666666666667,4.78333333333333,4.8,4.85
"309","BG_12_27",5.01666666666667,5,4.95,NA
"310","BG_12_28",4.8,4.75,4.75,NA
"311","BG_12_29",4.78333333333333,4.8,4.85,4.91666666666667
"312","BG_12_3",4.85,4.83333333333333,4.86666666666667,NA
"313","BG_12_30",4.75,4.76666666666667,4.98333333333333,NA
"314","BG_12_31",4.85,4.83333333333333,4.88333333333333,4.93333333333333
"315","BG_12_32",4.86666666666667,4.83333333333333,4.86666666666667,4.98333333333333
"316","BG_12_33",5.08333333333333,5.01666666666667,4.95,4.83333333333333
"317","BG_12_34",4.96666666666667,4.95,4.91666666666667,4.85
"318","BG_12_35",4.86666666666667,4.9,4.91666666666667,NA
"319","BG_12_36",4.8,4.86666666666667,4.91666666666667,NA
"320","BG_12_37",5.06666666666667,5,4.83333333333333,NA
"321","BG_12_38",4.98333333333333,4.85,4.83333333333333,4.83333333333333
"322","BG_12_39",4.86666666666667,4.88333333333333,4.88333333333333,4.96666666666667
"323","BG_12_4",4.83333333333333,4.88333333333333,4.96666666666667,NA
"324","BG_12_40",4.83333333333333,4.9,5,NA
"325","BG_12_41",4.95,4.91666666666667,4.88333333333333,4.88333333333333
"326","BG_12_42",4.98333333333333,4.95,4.93333333333333,4.9
"327","BG_12_43",4.91666666666667,4.98333333333333,5.03333333333333,5.08333333333333
"328","BG_12_44",4.76666666666667,5.3,5.31666666666667,4.85
"329","BG_12_45",4.93333333333333,4.9,4.76666666666667,4.75
"330","BG_12_46",4.95,4.86666666666667,4.83333333333333,4.83333333333333
"331","BG_12_47",4.85,4.88333333333333,4.88333333333333,4.9
"332","BG_12_48",4.88333333333333,4.91666666666667,4.96666666666667,5.03333333333333
"333","BG_12_49",5.08333333333333,5.05,4.9,4.83333333333333
"334","BG_12_5",4.95,4.93333333333333,4.85,NA
"335","BG_12_50",4.98333333333333,4.91666666666667,4.85,NA
"336","BG_12_51",4.96666666666667,4.93333333333333,4.9,4.88333333333333
"337","BG_12_52",5.05,5,4.98333333333333,4.88333333333333
"338","BG_12_53",4.95,4.96666666666667,5.01666666666667,5.08333333333333
"339","BG_12_54",4.86666666666667,4.88333333333333,4.96666666666667,5.05
"340","BG_12_55",4.86666666666667,4.85,4.83333333333333,4.83333333333333
"341","BG_12_56",5.05,4.96666666666667,4.95,4.85
"342","BG_12_57",4.85,4.86666666666667,5,5.01666666666667
"343","BG_12_58",4.85,4.85,4.88333333333333,5
"344","BG_12_59",5.06666666666667,4.85,NA,NA
"345","BG_12_6",4.93333333333333,4.8,4.75,4.75
"346","BG_12_60",4.88333333333333,4.85,4.83333333333333,4.28333333333333
"347","BG_12_61",4.83333333333333,4.86666666666667,4.88333333333333,4.96666666666667
"348","BG_12_62",4.83333333333333,4.88333333333333,4.91666666666667,4.93333333333333
"349","BG_12_63",4.95,4.91666666666667,4.88333333333333,NA
"350","BG_12_64",5.08333333333333,5.05,4.9,NA
"351","BG_12_65",4.75,4.78333333333333,4.83333333333333,NA
"352","BG_12_66",4.85,4.9,5,NA
"353","BG_12_67",5.05,4.93333333333333,4.88333333333333,NA
"354","BG_12_68",5.08333333333333,4.93333333333333,4.9,4.88333333333333
"355","BG_12_69",4.86666666666667,4.85,4.83333333333333,NA
"356","BG_12_7",4.76666666666667,4.78333333333333,4.85,5
"357","BG_12_70",4.85,4.83333333333333,4.83333333333333,4.98333333333333
