"","SS","Visits"
"944","BG_4_99",4
"945","BG_5_1",10
"946","BG_5_10",11
"947","BG_5_100",9
"948","BG_5_11",9
"949","BG_5_12",11
"950","BG_5_13",10
"951","BG_5_14",5
"952","BG_5_15",11
"953","BG_5_16",10
"954","BG_5_17",8
"955","BG_5_18",9
"956","BG_5_19",11
"957","BG_5_2",10
"958","BG_5_20",7
"959","BG_5_21",9
"960","BG_5_22",9
"961","BG_5_23",10
"962","BG_5_24",9
"963","BG_5_25",9
"964","BG_5_26",8
"965","BG_5_27",8
"966","BG_5_28",9
"967","BG_5_29",9
"968","BG_5_3",8
"969","BG_5_30",9
"970","BG_5_31",6
"971","BG_5_32",7
"972","BG_5_33",9
"973","BG_5_34",10
"974","BG_5_35",9
"975","BG_5_36",10
"976","BG_5_37",7
"977","BG_5_38",5
"978","BG_5_39",8
"979","BG_5_4",7
"980","BG_5_40",6
"981","BG_5_41",9
"982","BG_5_42",10
"983","BG_5_43",10
"984","BG_5_44",9
"985","BG_5_45",9
"986","BG_5_46",8
"987","BG_5_47",10
"988","BG_5_48",9
"989","BG_5_49",9
"990","BG_5_5",10
"991","BG_5_50",8
"992","BG_5_51",7
"993","BG_5_52",4
"994","BG_5_53",4
"995","BG_5_54",10
"996","BG_5_55",9
"997","BG_5_56",11
"998","BG_5_57",9
"999","BG_5_58",12
"1000","BG_5_59",10
"1001","BG_5_6",10
"1002","BG_5_60",10
"1003","BG_5_61",9
"1004","BG_5_62",10
"1005","BG_5_63",12
"1006","BG_5_64",9
"1007","BG_5_65",9
"1008","BG_5_66",6
"1009","BG_5_67",7
"1010","BG_5_68",10
"1011","BG_5_69",11
"1012","BG_5_7",10
"1013","BG_5_70",10
"1014","BG_5_71",8
"1015","BG_5_72",7
"1016","BG_5_73",12
"1017","BG_5_74",11
"1018","BG_5_75",10
"1019","BG_5_76",9
"1020","BG_5_77",11
"1021","BG_5_78",10
"1022","BG_5_79",11
"1023","BG_5_8",10
"1024","BG_5_80",9
"1025","BG_5_81",9
"1026","BG_5_82",10
"1027","BG_5_83",11
"1028","BG_5_84",6
"1029","BG_5_85",9
"1030","BG_5_86",6
"1031","BG_5_87",10
"1032","BG_5_88",8
"1033","BG_5_89",9
"1034","BG_5_9",10
"1035","BG_5_90",10
"1036","BG_5_91",8
"1037","BG_5_92",7
"1038","BG_5_93",8
"1039","BG_5_94",7
"1040","BG_5_95",7
"1041","BG_5_96",11
"1042","BG_5_97",9
"1043","BG_5_98",10
"1044","BG_5_99",10
"1045","BG_6_1",4
"1046","BG_6_10",4
"1047","BG_6_100",4
"1048","BG_6_11",4
"1049","BG_6_12",5
"1050","BG_6_13",3
"1051","BG_6_14",4
"1052","BG_6_15",5
"1053","BG_6_16",1
"1054","BG_6_17",4
"1055","BG_6_18",4
"1056","BG_6_19",3
"1057","BG_6_2",2
"1058","BG_6_20",3
"1059","BG_6_21",4
"1060","BG_6_23",2
"1061","BG_6_24",2
"1062","BG_6_25",4
"1063","BG_6_26",3
"1064","BG_6_27",3
"1065","BG_6_28",4
"1066","BG_6_29",4
"1067","BG_6_3",4
"1068","BG_6_31",4
"1069","BG_6_32",3
"1070","BG_6_33",4
"1071","BG_6_34",4
"1072","BG_6_35",3
"1073","BG_6_36",3
"1074","BG_6_37",4
"1075","BG_6_38",3
"1076","BG_6_39",2
"1077","BG_6_4",2
"1078","BG_6_40",4
"1079","BG_6_41",4
"1080","BG_6_42",4
"1081","BG_6_43",3
"1082","BG_6_44",1
"1083","BG_6_45",2
"1084","BG_6_46",2
"1085","BG_6_47",4
"1086","BG_6_48",2
"1087","BG_6_49",4
"1088","BG_6_5",3
"1089","BG_6_50",4
"1090","BG_6_51",4
"1091","BG_6_52",3
"1092","BG_6_53",3
"1093","BG_6_54",3
"1094","BG_6_55",3
"1095","BG_6_56",4
"1096","BG_6_57",4
"1097","BG_6_58",4
"1098","BG_6_59",4
"1099","BG_6_6",5
"1100","BG_6_60",4
"1101","BG_6_61",2
"1102","BG_6_62",5
"1103","BG_6_64",4
"1104","BG_6_65",4
"1105","BG_6_66",4
"1106","BG_6_67",3
"1107","BG_6_68",4
"1108","BG_6_69",4
"1109","BG_6_7",3
"1110","BG_6_70",4
"1111","BG_6_71",4
"1112","BG_6_72",4
"1113","BG_6_73",4
"1114","BG_6_74",1
"1115","BG_6_75",2
"1116","BG_6_76",4
"1117","BG_6_77",4
"1118","BG_6_78",4
"1119","BG_6_79",4
"1120","BG_6_8",2
"1121","BG_6_81",4
"1122","BG_6_82",4
"1123","BG_6_83",4
"1124","BG_6_84",3
"1125","BG_6_85",4
"1126","BG_6_86",3
"1127","BG_6_87",4
"1128","BG_6_88",4
"1129","BG_6_89",4
"1130","BG_6_9",3
"1131","BG_6_90",4
"1132","BG_6_91",4
"1133","BG_6_92",4
"1134","BG_6_93",3
"1135","BG_6_94",4
"1136","BG_6_95",3
"1137","BG_6_96",4
"1138","BG_6_97",3
"1139","BG_6_99",4
"1140","BG_7_1",3
"1141","BG_7_10",4
"1142","BG_7_100",4
"1143","BG_7_11",4
"1144","BG_7_12",4
"1145","BG_7_13",3
"1146","BG_7_14",4
"1147","BG_7_15",4
"1148","BG_7_16",4
"1149","BG_7_18",4
"1150","BG_7_19",4
