"","location","Year","method","recording_date","transcriber","n"
"4481","BG-2-51",2015,"3m1SPM+7mVS","2015-06-16","Natalie Sanchez",1
"4482","BG-2-51",2015,"3m1SPM+7mVS","2015-06-18","Nicole Boucher",1
"4483","BG-2-51",2015,"3m1SPM+7mVS","2015-06-20","Natalie Sanchez",1
"4484","BG-2-52",2015,"3m1SPM+7mVS","2015-06-10","Natalie Sanchez",1
"4485","BG-2-52",2015,"3m1SPM+7mVS","2015-06-15","Nicole Boucher",1
"4486","BG-2-52",2015,"3m1SPM+7mVS","2015-06-18","Nicole Boucher",1
"4487","BG-2-53",2015,"3m1SPM+7mVS","2015-06-21","Nicole Boucher",1
"4488","BG-2-53",2015,"3m1SPM+7mVS","2015-06-28","Nicole Boucher",1
"4489","BG-2-53",2015,"3m1SPM+7mVS","2015-06-30","Nicole Boucher",1
"4490","BG-2-53",2015,"3m1SPM+7mVS","2015-07-01","Alex MacPhail",1
"4491","BG-2-54",2015,"3m1SPM+7mVS","2015-06-24","Nicole Boucher",1
"4492","BG-2-54",2015,"3m1SPM+7mVS","2015-06-28","Jocelyne Gregoire",1
"4493","BG-2-54",2015,"3m1SPM+7mVS","2015-06-30","Alex MacPhail",1
"4494","BG-2-54",2015,"3m1SPM+7mVS","2015-07-04","Nicole Boucher",1
"4495","BG-2-55",2015,"3m1SPM+7mVS","2015-06-25","Jocelyne Gregoire",1
"4496","BG-2-55",2015,"3m1SPM+7mVS","2015-06-28","Nicole Boucher",1
"4497","BG-2-55",2015,"3m1SPM+7mVS","2015-07-02","Alex MacPhail",1
"4498","BG-2-55",2015,"3m1SPM+7mVS","2015-07-04","Nicole Boucher",1
"4499","BG-2-56",2015,"3m1SPM+7mVS","2015-06-21","Jocelyne Gregoire",1
"4500","BG-2-56",2015,"3m1SPM+7mVS","2015-06-26","Nicole Boucher",1
"4501","BG-2-56",2015,"3m1SPM+7mVS","2015-06-29","Jocelyne Gregoire",1
"4502","BG-2-56",2015,"3m1SPM+7mVS","2015-06-30","Nicole Boucher",1
"4503","BG-2-57",2015,"3m1SPM+7mVS","2015-06-24","Natalie Sanchez",1
"4504","BG-2-57",2015,"3m1SPM+7mVS","2015-06-27","Natalie Sanchez",1
"4505","BG-2-57",2015,"3m1SPM+7mVS","2015-06-29","Nicole Boucher",1
"4506","BG-2-57",2015,"3m1SPM+7mVS","2015-06-30","Alex MacPhail",1
"4507","BG-2-58",2015,"3m1SPM+7mVS","2015-06-24","Natalie Sanchez",1
"4508","BG-2-58",2015,"3m1SPM+7mVS","2015-06-28","Alex MacPhail",1
"4509","BG-2-58",2015,"3m1SPM+7mVS","2015-06-29","Nicole Boucher",1
"4510","BG-2-58",2015,"3m1SPM+7mVS","2015-07-01","Natalie Sanchez",1
"4511","BG-2-59",2015,"3m1SPM+7mVS","2015-06-22","Nicole Boucher",1
"4512","BG-2-59",2015,"3m1SPM+7mVS","2015-06-24","Nicole Boucher",1
"4513","BG-2-59",2015,"3m1SPM+7mVS","2015-06-25","Alex MacPhail",1
"4514","BG-2-59",2015,"3m1SPM+7mVS","2015-06-26","Natalie Sanchez",1
"4515","BG-2-6",2015,"3m1SPM+7mVS","2015-06-21","Nicole Boucher",1
"4516","BG-2-6",2015,"3m1SPM+7mVS","2015-06-23","Nicole Boucher",1
"4517","BG-2-6",2015,"3m1SPM+7mVS","2015-06-24","Nicole Boucher",1
"4518","BG-2-6",2015,"3m1SPM+7mVS","2015-06-25","Natalie Sanchez",1
"4519","BG-2-60",2015,"3m1SPM+7mVS","2015-06-22","Nicole Boucher",1
"4520","BG-2-60",2015,"3m1SPM+7mVS","2015-06-23","Alex MacPhail",1
"4521","BG-2-60",2015,"3m1SPM+7mVS","2015-06-30","Nicole Boucher",1
"4522","BG-2-61",2015,"3m 1SPM","2015-06-08","Christopher Wagner",1
"4523","BG-2-61",2015,"3m 1SPM","2015-06-09","S Shappas",1
"4524","BG-2-61",2015,"3m 1SPM","2015-06-11","Brandon Law",1
