"","SS","Visits"
"816","BG_17_47",2
"817","BG_17_48",3
"818","BG_17_49",4
"819","BG_17_5",4
"820","BG_17_50",3
"821","BG_17_51",4
"822","BG_17_52",4
"823","BG_17_53",4
"824","BG_17_54",2
"825","BG_17_55",4
"826","BG_17_56",4
"827","BG_17_57",3
"828","BG_17_58",2
"829","BG_17_59",4
"830","BG_17_6",4
"831","BG_17_60",4
"832","BG_17_61",3
"833","BG_17_62",4
"834","BG_17_63",4
"835","BG_17_64",4
"836","BG_17_65",4
"837","BG_17_67",4
"838","BG_17_68",4
"839","BG_17_7",4
"840","BG_17_71",4
"841","BG_17_73",4
"842","BG_17_74",4
"843","BG_17_75",4
"844","BG_17_76",3
"845","BG_17_77",4
"846","BG_17_78",4
"847","BG_17_79",4
"848","BG_17_8",4
"849","BG_17_80",1
"850","BG_17_81",2
"851","BG_17_82",4
"852","BG_17_83",3
"853","BG_17_84",2
"854","BG_17_85",4
"855","BG_17_86",2
"856","BG_17_87",3
"857","BG_17_88",2
"858","BG_17_89",4
"859","BG_17_9",4
"860","BG_17_90",3
"861","BG_17_91",4
"862","BG_17_92",7
"863","BG_17_93",3
"864","BG_17_94",3
"865","BG_17_95",4
"866","BG_17_96",4
"867","BG_17_97",3
"868","BG_17_98",3
"869","BG_17_99",3
"870","BG_18_1",4
"871","BG_18_100",4
"872","BG_18_11",4
"873","BG_18_12",4
"874","BG_18_13",4
"875","BG_18_15",4
"876","BG_18_16",2
"877","BG_18_17",3
"878","BG_18_18",4
"879","BG_18_19",3
"880","BG_18_2",4
"881","BG_18_20",4
"882","BG_18_21",4
"883","BG_18_22",3
"884","BG_18_23",4
"885","BG_18_24",4
"886","BG_18_25",3
"887","BG_18_26",3
"888","BG_18_27",4
"889","BG_18_28",4
"890","BG_18_29",4
"891","BG_18_3",1
"892","BG_18_30",3
"893","BG_18_31",4
"894","BG_18_32",3
"895","BG_18_33",4
"896","BG_18_34",3
"897","BG_18_35",3
"898","BG_18_36",4
"899","BG_18_37",1
"900","BG_18_38",4
"901","BG_18_39",4
"902","BG_18_4",4
"903","BG_18_41",4
"904","BG_18_42",4
"905","BG_18_43",2
"906","BG_18_44",4
"907","BG_18_45",3
"908","BG_18_46",4
"909","BG_18_47",4
"910","BG_18_48",4
"911","BG_18_49",4
"912","BG_18_5",4
"913","BG_18_50",4
"914","BG_18_51",4
"915","BG_18_52",4
"916","BG_18_54",4
"917","BG_18_55",3
"918","BG_18_56",4
"919","BG_18_57",4
"920","BG_18_58",4
"921","BG_18_59",4
"922","BG_18_6",4
"923","BG_18_60",4
"924","BG_18_61",4
"925","BG_18_62",3
"926","BG_18_63",4
"927","BG_18_64",4
"928","BG_18_65",4
"929","BG_18_66",4
"930","BG_18_67",4
"931","BG_18_68",4
"932","BG_18_69",4
"933","BG_18_7",4
"934","BG_18_70",2
"935","BG_18_71",3
"936","BG_18_72",3
"937","BG_18_73",4
"938","BG_18_74",3
"939","BG_18_75",4
"940","BG_18_76",4
"941","BG_18_77",4
"942","BG_18_78",4
"943","BG_18_79",4
"944","BG_18_8",4
"945","BG_18_80",4
"946","BG_18_81",4
